City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Kodiak,US,2022-08-03 15:54:31,57.79,-152.4072,54.34,77,100,6.64
114,Tura,IN,2022-08-03 15:54:31,25.5198,90.2201,75.49,96,100,2.64
115,Kingman,US,2022-08-03 15:53:00,35.1894,-114.053,89.55,30,100,3.0
116,Anloga,GH,2022-08-03 15:54:32,5.7947,0.8973,75.72,73,17,15.9
117,Atuona,PF,2022-08-03 15:54:32,-9.8,-139.0333,77.4,73,0,15.26
118,Nanortalik,GL,2022-08-03 15:54:32,60.1432,-45.2371,50.59,76,100,13.69
119,Coari,BR,2022-08-03 15:54:33,-4.085,-63.1414,91.4,50,29,2.21
120,Colac,AU,2022-08-03 15:54:33,-38.3333,143.5833,54.18,93,41,9.48
121,Thompson,CA,2022-08-03 15:54:33,55.7435,-97.8558,55.56,54,20,13.8
122,Mogadishu,SO,2022-08-03 15:54:34,2.0371,45.3438,76.59,81,10,18.86
123,Paamiut,GL,2022-08-03 15:54:34,61.994,-49.6678,52.29,70,100,27.16
124,Sambava,MG,2022-08-03 15:54:34,-14.2667,50.1667,70.68,80,13,12.55
125,Umba,RU,2022-08-03 15:54:35,66.6871,34.3429,61.56,60,11,6.02
126,Shimoda,JP,2022-08-03 15:54:35,34.6667,138.95,85.1,75,87,4.63
127,Alamosa,US,2022-08-03 15:54:35,37.4695,-105.87,72.3,40,33,1.59
128,Akdepe,TM,2022-08-03 15:54:36,42.0551,59.3788,87.89,28,35,13.6
129,Biryusinsk,RU,2022-08-03 15:54:36,55.9634,97.8235,49.5,84,28,4.41
130,Provideniya,RU,2022-08-03 15:54:36,64.3833,-173.3,52.14,71,20,1.95
131,Taoudenni,ML,2022-08-03 15:54:37,22.6783,-3.9836,114.78,8,12,4.99
132,Andreapol,RU,2022-08-03 15:54:37,56.6513,32.2664,73.44,59,33,3.2
133,Ilulissat,GL,2022-08-03 15:54:37,69.2167,-51.1,46.54,72,100,7.9
134,Tuscaloosa,US,2022-08-03 15:54:37,33.2098,-87.5692,87.58,53,11,3.89
135,Broken Hill,AU,2022-08-03 15:53:04,-31.95,141.4333,65.41,48,100,20.67
136,Te Anau,NZ,2022-08-03 15:55:38,-45.4167,167.7167,42.28,91,100,5.06
137,Torit,SS,2022-08-03 15:55:38,4.4133,32.5678,77.81,63,82,0.96
138,Yellowknife,CA,2022-08-03 15:55:38,62.456,-114.3525,57.72,72,20,9.22
139,Bovenden,DE,2022-08-03 15:55:39,51.5833,9.9333,93.33,34,74,5.7
140,Dalvik,IS,2022-08-03 15:55:39,65.9702,-18.5286,44.53,97,100,6.53
141,Sisimiut,GL,2022-08-03 15:55:39,66.9395,-53.6735,52.48,62,100,4.83
142,Wuhu,CN,2022-08-03 15:55:40,31.3366,118.3755,85.78,71,63,4.47
143,Arman,RU,2022-08-03 15:55:40,59.7,150.1667,55.02,94,96,2.73
144,Mahebourg,MU,2022-08-03 15:55:40,-20.4081,57.7,68.29,77,40,5.75
145,Courtenay,CA,2022-08-03 15:55:41,49.6866,-124.9936,64.33,80,100,4.61
146,Hof,DE,2022-08-03 15:55:41,50.3167,11.9167,90.48,27,0,5.75
147,Isangel,VU,2022-08-03 15:55:41,-19.55,169.2667,74.98,88,0,4.85
148,Hamilton,US,2022-08-03 15:53:46,39.1834,-84.5333,89.73,69,2,3.0
149,Lebu,CL,2022-08-03 15:55:41,-37.6167,-73.65,50.63,74,8,3.51
150,Kamiiso,JP,2022-08-03 15:55:42,41.8167,140.65,66.42,94,76,6.82
151,Nahrin,AF,2022-08-03 15:55:42,36.0649,69.1334,76.73,34,0,2.75
152,Guerrero Negro,MX,2022-08-03 15:55:42,27.9769,-114.0611,74.5,72,55,14.58
153,Point Pedro,LK,2022-08-03 15:55:43,9.8167,80.2333,80.82,82,100,20.33
154,Harper,LR,2022-08-03 15:55:43,4.375,-7.7169,76.93,73,99,9.89
155,Nakhon Si Thammarat,TH,2022-08-03 15:55:43,8.25,100.0,78.66,80,100,5.61
156,Cockburn Town,TC,2022-08-03 15:50:53,21.4612,-71.1419,81.9,74,2,16.51
157,Kita,ML,2022-08-03 15:55:44,13.0349,-9.4895,81.43,75,94,4.52
158,Mayo,US,2022-08-03 15:55:44,38.8876,-76.5119,91.13,59,4,1.99
159,Shar,KZ,2022-08-03 15:55:44,49.5886,81.0453,70.21,51,89,11.36
160,Campbell,US,2022-08-03 15:55:45,38.9501,-84.3833,89.26,70,2,7.16
161,Paita,PE,2022-08-03 15:55:45,-5.0892,-81.1144,68.65,71,84,11.14
162,Delta,NG,2022-08-03 15:55:45,5.5,6.0,79.48,72,91,7.18
163,Kupang,ID,2022-08-03 15:54:56,-10.1667,123.5833,74.23,77,100,10.4
164,Airai,TL,2022-08-03 15:55:46,-8.9266,125.4092,56.05,85,69,2.01
165,Ajdabiya,LY,2022-08-03 15:55:46,30.7554,20.2263,83.75,58,0,19.13
166,Malakal,SS,2022-08-03 15:55:46,9.5334,31.6605,74.86,89,57,2.89
167,Hasaki,JP,2022-08-03 15:55:46,35.7333,140.8333,79.2,94,94,13.31
168,Rock Falls,US,2022-08-03 15:55:47,41.7798,-89.689,87.87,78,75,10.36
169,Port Elizabeth,ZA,2022-08-03 15:55:47,-33.918,25.5701,62.89,90,78,15.99
