City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
258,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
267,Saint-Francois,FR,83.64,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
268,Yuci,CN,80.35,clear sky,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
269,Russell,US,89.38,clear sky,32.3502,-85.1999,Macs
270,Nouakchott,MR,80.47,broken clouds,18.0858,-15.9785,HOTEL IMAN
271,Nieves,PH,80.11,light rain,15.3274,120.9485,Bill's Inn
273,Arlit,NE,88.97,light rain,18.7369,7.3853,Case de Passage De la Prefecture
275,Inyonga,TZ,76.53,scattered clouds,-6.7167,32.0667,Eden Rock Lodge
278,Ponta Do Sol,PT,83.71,clear sky,32.6667,-17.1,Hotel do Campo
282,Saint George,US,81.79,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
284,Tambopata,PE,78.69,broken clouds,-12.7333,-69.1833,Enashawa Lodge
285,Radcliff,US,77.83,light rain,37.8404,-85.9491,Super 8 by Wyndham Radcliff Ft. Knox Area
286,Husainabad,IN,89.28,broken clouds,24.5333,84.0167,Mehdinager
288,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
289,Labuhan,ID,75.38,broken clouds,-6.8844,112.2051,DoubleFAG
291,Gospic,HR,87.49,clear sky,44.5461,15.3747,Apartment Saric
293,Vanimo,PG,76.17,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
295,Port Blair,IN,82.44,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
296,Olot,ES,78.08,light rain,42.181,2.4901,Hotel Riu Fluvià
300,Mecca,SA,86.4,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
302,Ponta Delgada,PT,77.72,few clouds,37.7333,-25.6667,Vila Nova Hotel
304,Shancheng,CN,84.36,clear sky,34.7953,116.0817,Shanxian Golden Dragon Hotel
306,Belawan,ID,80.89,moderate rain,3.7755,98.6832,Rumah Mamak Bapak M.Radial
308,Mingshui,CN,83.98,clear sky,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
312,Daru,PG,77.85,overcast clouds,-9.0763,143.2092,Daru Lodge
314,Coahuayana,MX,86.29,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
315,Proletariy,RU,78.08,broken clouds,58.4342,31.7046,Tri Kita Mihi-Hotel Bronnitsa
324,Kamarion,GR,79.09,clear sky,36.8,25.8167,Rooms Eleni
325,Vila Franca Do Campo,PT,77.41,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
