City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,La Ronge,CA,55.1001,-105.2842,53.85,87,100,10.36,light intensity drizzle
137,Lisieux,FR,49.1667,0.1667,73.33,35,1,14.5,clear sky
138,Wlodawa,PL,51.55,23.55,85.95,42,14,7.23,few clouds
139,Sitka,US,57.0531,-135.33,57.09,88,100,9.22,overcast clouds
140,Ratnagiri,IN,16.9833,73.3,78.91,88,100,21.36,light rain
141,Waipawa,NZ,-41.4122,175.5153,50.94,76,100,10.51,overcast clouds
142,Karasuk,RU,53.7377,78.0403,64.8,57,1,8.52,clear sky
143,Yarada,IN,17.65,83.2667,80.92,83,75,5.75,mist
144,Beira,MZ,-19.8436,34.8389,73.49,78,0,11.5,clear sky
145,Mazatlan,MX,23.2167,-106.4167,90.01,79,40,1.99,scattered clouds
146,Touros,BR,-5.1989,-35.4608,82.2,68,23,18.19,few clouds
147,Nouadhibou,MR,20.931,-17.0347,70.74,89,1,14.76,clear sky
148,Lavrentiya,RU,65.5833,-171.0,38.79,92,100,11.86,light rain
149,Hambantota,LK,6.1241,81.1185,79.14,94,20,11.5,few clouds
150,Barrow,US,71.2906,-156.7887,50.31,87,76,5.37,broken clouds
151,Dedza,MW,-14.3779,34.3332,61.59,47,0,4.25,clear sky
152,Oranjestad,AW,12.524,-70.027,87.75,66,20,23.02,few clouds
153,Plonsk,PL,52.6235,20.3755,87.84,40,37,7.81,scattered clouds
154,Mount Isa,AU,-20.7333,139.5,69.57,43,75,10.36,broken clouds
155,Damaturu,NG,11.747,11.9608,86.85,50,96,7.34,overcast clouds
156,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,72,40,12.66,scattered clouds
157,Ouesso,CG,1.6136,16.0517,77.49,80,98,2.55,light rain
158,Portree,GB,57.4129,-6.1942,57.52,70,14,13.24,few clouds
159,Chapais,CA,49.7834,-74.8492,64.18,34,7,3.94,clear sky
160,Nha Trang,VN,12.25,109.1833,78.8,88,100,6.11,overcast clouds
161,Hithadhoo,MV,-0.6,73.0833,82.56,70,100,9.53,overcast clouds
162,Zeya,RU,53.75,127.2667,66.72,98,100,8.59,moderate rain
163,Fukue,JP,32.6881,128.8419,82.8,87,8,10.74,clear sky
164,Thunder Bay,CA,48.4001,-89.3168,71.58,68,40,10.36,scattered clouds
165,Moba,CN,33.2288,105.0179,64.6,96,0,4.03,clear sky
166,Lewistown,US,40.5992,-77.5714,79.18,100,20,0.0,few clouds
167,East London,ZA,-33.0153,27.9116,65.34,72,0,4.61,clear sky
168,Muli,MV,2.9167,73.5667,81.97,77,100,14.9,overcast clouds
169,Manggar,ID,-2.8833,108.2667,77.85,78,100,1.3,overcast clouds
170,Vienenburg,DE,51.95,10.5667,69.12,82,94,10.54,overcast clouds
171,Broome,US,42.2506,-75.833,82.02,84,0,4.61,clear sky
172,Nikolskoye,RU,59.7035,30.7861,84.09,48,6,5.97,clear sky
173,Finschhafen,PG,-6.6024,147.8681,78.87,79,90,8.75,overcast clouds
174,Ostroda,PL,53.6967,19.9649,84.94,39,62,9.82,broken clouds
175,Sao Caetano De Odivelas,BR,-0.75,-48.02,88.81,55,50,8.19,scattered clouds
176,Manakara,MG,-22.1333,48.0167,67.78,83,0,8.84,clear sky
177,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,55,2,11.79,clear sky
178,Ribeira Grande,PT,38.5167,-28.7,79.2,78,20,4.61,few clouds
179,Bay City,US,43.5945,-83.8889,77.11,74,75,11.5,broken clouds
180,Salalah,OM,17.0151,54.0924,78.89,94,75,6.91,broken clouds
181,Krasnoarmeysk,RU,51.0239,45.6969,75.56,48,95,9.37,overcast clouds
182,Hasaki,JP,35.7333,140.8333,72.28,75,100,10.33,overcast clouds
183,Dalaba,GN,10.7,-12.25,68.61,90,88,4.36,light rain
184,Ekibastuz,KZ,51.6667,75.3667,69.62,38,2,5.84,clear sky
185,Baruun-Urt,MN,46.6806,113.2792,66.78,57,5,6.93,clear sky
186,Sun City West,US,33.662,-112.3413,92.84,53,0,3.44,clear sky
187,Gilbues,BR,-9.8317,-45.3439,94.23,26,20,7.23,few clouds
188,Butaritari,KI,3.0707,172.7902,81.64,77,22,12.53,few clouds
189,Shadrinsk,RU,56.0852,63.6335,67.95,60,9,1.43,clear sky
190,Qaqortoq,GL,60.7167,-46.0333,45.79,93,100,6.78,light rain
191,Soledade,BR,-28.8183,-52.5103,57.18,64,58,5.19,broken clouds
192,Avarua,CK,-21.2078,-159.775,71.65,83,75,16.11,broken clouds
193,Korcula,HR,42.9622,17.1369,80.76,70,0,10.38,clear sky
194,Yellowknife,CA,62.456,-114.3525,59.56,67,75,5.75,broken clouds
195,Jardim,BR,-21.4803,-56.1381,71.69,64,99,3.83,overcast clouds
196,Sergeyevka,KZ,53.88,67.4158,67.14,62,26,3.24,scattered clouds
197,Dorobantu,RO,44.2167,26.95,93.04,27,52,14.05,broken clouds
198,Tiarei,PF,-17.5333,-149.3333,71.62,79,76,27.6,light rain
199,Semey,KZ,50.4111,80.2275,66.43,33,0,11.03,clear sky
200,Bethel,US,41.3712,-73.414,89.15,65,0,3.44,clear sky
201,Wanning,CN,18.8003,110.3967,80.62,86,100,9.06,overcast clouds
202,Along,IN,28.1667,94.7667,76.14,98,49,0.56,scattered clouds
203,Nome,US,64.5011,-165.4064,48.27,93,100,4.61,overcast clouds
204,Georgetown,MY,5.4112,100.3354,84.13,87,40,3.44,scattered clouds
205,Panjab,AF,34.388,67.0233,61.65,34,19,7.05,few clouds
206,Lumby,CA,50.2498,-118.969,60.37,76,15,2.3,few clouds
207,Saint Anthony,US,45.0205,-93.218,83.84,60,0,13.8,clear sky
208,Innellan,GB,55.8919,-4.9616,63.99,59,44,15.26,scattered clouds
209,Lorengau,PG,-2.0226,147.2712,79.57,80,100,1.3,overcast clouds
210,Klaksvik,FO,62.2266,-6.589,54.52,78,39,17.2,scattered clouds
211,Puerto Leguizamo,CO,-0.1934,-74.7819,72.72,99,100,1.57,moderate rain
212,Linkoping,SE,58.4109,15.6216,66.58,80,100,9.22,overcast clouds
213,Markivka,UA,49.5229,39.5705,76.55,57,100,10.54,overcast clouds
214,Kieta,PG,-6.2167,155.6333,78.3,83,94,4.7,overcast clouds
215,Sangin,AF,32.0728,64.8359,95.14,8,0,10.11,clear sky
216,Roald,NO,62.5833,6.1333,62.17,62,40,23.02,light rain
217,Shu,KZ,43.5983,73.7614,79.0,36,100,6.51,overcast clouds
218,Le Port,RE,-20.9373,55.2919,69.8,65,49,4.34,scattered clouds
219,Bundaberg,AU,-24.85,152.35,65.21,99,100,3.44,overcast clouds
220,Badiraguato,MX,25.3667,-107.5167,83.75,59,100,2.06,overcast clouds
221,Banda Aceh,ID,5.5577,95.3222,79.81,78,71,12.77,broken clouds
222,Nhulunbuy,AU,-12.2333,136.7667,74.01,94,59,0.0,broken clouds
223,Cidreira,BR,-30.1811,-50.2056,58.01,74,94,15.66,overcast clouds
224,Boddam,GB,57.4667,-1.7833,62.98,61,64,11.36,broken clouds
225,College,US,64.8569,-147.8028,55.35,93,100,6.91,overcast clouds
226,San Jeronimo,PE,-11.9472,-75.2829,58.93,46,100,2.26,overcast clouds
227,Valparaiso,CL,-33.0393,-71.6273,62.83,41,0,14.97,clear sky
228,Kuito,AO,-12.3833,16.9333,79.21,15,20,7.78,few clouds
229,Santa Cruz Cabralia,BR,-16.2781,-39.0247,79.03,73,75,13.8,broken clouds
230,Kochi,IN,9.9399,76.2602,77.02,89,100,12.59,light rain
231,Buala,SB,-8.145,159.5921,78.58,80,82,1.19,broken clouds
232,Port Keats,AU,-14.25,129.55,72.66,81,31,4.68,scattered clouds
233,Chinsali,ZM,-10.5414,32.0816,67.6,38,0,5.46,clear sky
234,Sasykoli,RU,47.5515,46.9968,87.08,24,100,11.1,overcast clouds
235,Polunochnoye,RU,60.8697,60.4153,65.88,70,81,4.59,broken clouds
236,Hami,CN,42.8,93.45,85.01,37,71,5.26,broken clouds
237,Neftegorsk,RU,52.802,51.166,76.64,41,80,4.05,broken clouds
238,Talnakh,RU,69.4865,88.3972,61.21,86,80,4.14,broken clouds
239,Imphal,IN,24.8167,93.95,72.86,97,100,1.88,overcast clouds
240,Ortigueira,BR,-24.2083,-50.9494,67.69,64,93,4.16,overcast clouds
241,San Angelo,US,31.4638,-100.437,91.58,39,0,8.05,clear sky
242,Santa Cruz,BO,-17.8,-63.1667,73.45,46,75,16.11,broken clouds
243,Heishan,CN,41.6892,122.1128,75.04,85,79,4.85,broken clouds
244,Pangai,TO,-19.8,-174.35,76.1,84,100,15.99,light rain
245,Seymchan,RU,62.8833,152.4333,53.29,91,90,1.01,overcast clouds
246,Yar-Sale,RU,66.8333,70.8333,63.19,64,99,7.61,overcast clouds
247,Mount Gambier,AU,-37.8333,140.7667,41.79,98,37,4.29,scattered clouds
248,Alice Springs,AU,-23.7,133.8833,44.15,57,0,4.61,clear sky
249,Dumas,US,35.8656,-101.9732,84.61,51,0,8.05,clear sky
250,Maningrida,AU,-12.0667,134.2667,73.92,92,79,5.61,broken clouds
251,Dolores,AR,-36.3132,-57.6792,55.92,41,9,7.4,clear sky
252,Lompoc,US,34.6391,-120.4579,64.54,96,100,4.61,mist
253,Apozol,MX,21.4833,-103.1,77.41,47,28,2.08,scattered clouds
254,Madang,PG,-5.2246,145.7966,76.42,92,95,1.43,overcast clouds
255,Berdigestyakh,RU,62.0989,126.6992,64.69,97,100,7.38,overcast clouds
256,Santa Maria,BR,-29.6842,-53.8069,54.7,71,100,3.44,overcast clouds
257,Maxixe,MZ,-23.8597,35.3472,75.02,78,0,9.22,clear sky
258,Bathsheba,BB,13.2167,-59.5167,88.41,80,40,24.16,scattered clouds
259,General Roca,AR,-39.0333,-67.5833,48.61,36,100,7.99,overcast clouds
260,Tyumentsevo,RU,53.3224,81.498,61.93,53,4,4.54,clear sky
261,Andenes,NO,69.3143,16.1194,56.93,76,75,13.8,light rain
262,Ayan,RU,56.45,138.1667,55.17,99,100,14.03,light rain
263,Kodino,RU,63.7198,39.6447,75.78,61,40,4.54,scattered clouds
264,Mayahi,NE,13.9553,7.6712,90.25,42,77,8.05,broken clouds
265,Byron Bay,AU,-28.65,153.6167,64.71,91,100,6.67,overcast clouds
266,Beringovskiy,RU,63.05,179.3167,46.78,87,73,11.32,broken clouds
267,Saint-Francois,FR,46.4154,3.9054,83.64,48,100,17.27,overcast clouds
268,Yuci,CN,37.6803,112.7319,80.35,65,0,6.71,clear sky
269,Russell,US,32.3502,-85.1999,89.38,62,0,0.0,clear sky
270,Nouakchott,MR,18.0858,-15.9785,80.47,73,81,11.03,broken clouds
271,Nieves,PH,15.3274,120.9485,80.11,97,100,0.87,light rain
272,Luderitz,NA,-26.6481,15.1594,63.79,63,92,11.41,overcast clouds
273,Arlit,NE,18.7369,7.3853,88.97,44,13,26.31,light rain
274,Tuatapere,NZ,-46.1333,167.6833,46.74,93,80,4.36,broken clouds
275,Inyonga,TZ,-6.7167,32.0667,76.53,30,27,4.07,scattered clouds
276,Sisimiut,GL,66.9395,-53.6735,47.43,79,100,5.86,overcast clouds
277,Whitehorse,CA,60.7161,-135.0538,56.17,73,75,17.27,broken clouds
278,Ponta Do Sol,PT,32.6667,-17.1,83.71,67,0,4.59,clear sky
279,Macamic,CA,48.7502,-78.9996,69.66,54,6,4.9,clear sky
280,Chuy,UY,-33.6971,-53.4616,54.19,66,10,8.08,clear sky
281,Svetlaya,RU,46.5389,138.3297,64.9,98,100,8.14,light rain
282,Saint George,US,37.1041,-113.5841,81.79,69,100,3.44,overcast clouds
283,Vao,NC,-22.6667,167.4833,70.92,79,100,8.03,overcast clouds
284,Tambopata,PE,-12.7333,-69.1833,78.69,78,75,2.3,broken clouds
285,Radcliff,US,37.8404,-85.9491,77.83,94,75,6.91,light rain
286,Husainabad,IN,24.5333,84.0167,89.28,58,73,3.02,broken clouds
287,Santiago De Cao,PE,-7.9589,-79.2392,60.93,82,100,10.36,fog
288,San Cristobal,VE,7.7669,-72.225,82.58,51,100,6.69,overcast clouds
289,Labuhan,ID,-6.8844,112.2051,75.38,85,69,5.7,broken clouds
290,Ambulu,ID,-8.345,113.6058,72.93,91,45,2.84,scattered clouds
291,Gospic,HR,44.5461,15.3747,87.49,29,0,4.88,clear sky
292,Pandamatenga,BW,-18.5278,25.627,74.05,31,0,5.91,clear sky
293,Vanimo,PG,-2.6741,141.3028,76.17,90,95,1.3,overcast clouds
294,Winslow,US,35.0242,-110.6974,73.58,60,0,5.75,clear sky
